"Story","Title","Result","Date","Stability","Duration (s)"
"Calculator","Sum of the 1st and 2nd digits","SUCCESS","2022-11-25T23:08:37.732522+07:00[Asia/Jakarta]","0.0","24.68"
"Calculator","Subtraction of the 1st and 2nd digits","SUCCESS","2022-11-25T23:09:02.420687+07:00[Asia/Jakarta]","0.0","26.5"
"Calculator","Multiplication of the 1st and 2nd digits","SUCCESS","2022-11-25T23:09:28.926122+07:00[Asia/Jakarta]","0.0","25.4"
"Calculator","Division of the 1st and 2nd digits","SUCCESS","2022-11-25T23:09:54.338259+07:00[Asia/Jakarta]","0.0","26.52"
"Login","User login with input valid email and password","SUCCESS","2022-11-25T23:10:20.890085+07:00[Asia/Jakarta]","0.0","17.47"
"Login","User login with input invalid email and password","SUCCESS","2022-11-25T23:10:38.364846+07:00[Asia/Jakarta]","0.0","15.5"
"Scrolling menu","Scroll list with pointer","SUCCESS","2022-11-25T23:10:53.871697+07:00[Asia/Jakarta]","0.0","24.77"
"Scrolling menu","Scroll list until text showed","SUCCESS","2022-11-25T23:11:18.648151+07:00[Asia/Jakarta]","0.0","59.74"
"Scrolling menu","Longpress on list menu","SUCCESS","2022-11-25T23:12:18.395591+07:00[Asia/Jakarta]","0.0","27.13"
"Scrolling menu","Multiple tap on single list menu","SUCCESS","2022-11-25T23:12:45.531976+07:00[Asia/Jakarta]","0.0","29.07"
"Scrolling menu","Multiple tap in random list menu","SUCCESS","2022-11-25T23:13:14.603801+07:00[Asia/Jakarta]","0.0","31.98"
